aX,aY,aZ,gX,gY,gZ
-0.676,-0.805,0.862,-89.05,53.101,-5.859
-0.693,-0.895,0.875,-91.187,53.955,-1.831
-0.719,-0.941,0.893,-95.825,54.016,1.526
-0.738,-0.917,0.918,-99.915,53.528,4.456
-0.764,-0.864,0.949,-99.854,52.856,7.202
-0.763,-0.845,0.977,-94.177,52.185,10.071
-0.784,-0.872,1.008,-84.595,50.72,12.756
-0.79,-1.003,0.986,-74.89,47.18,15.32
-0.772,-1.101,0.935,-70.313,41.382,17.09
-0.768,-1.057,0.891,-71.35,33.081,17.029
-0.767,-0.956,0.844,-71.228,23.315,15.686
-1.019,-0.792,0.958,-64.697,13.428,13.855
-2.189,-1.406,2.206,-42.542,11.047,25.085
-3.177,-4,2.806,-0.122,55.969,91.187
0.827,-1.356,-0.523,-18.005,156.677,131.897
0.239,-0.666,0.554,-71.533,120.3,94.421
-0.389,0.138,1.747,-72.083,76.477,52.368
-0.117,0.868,1.445,-42.297,100.281,12.634
0.101,0.204,0.992,-16.174,118.408,-29.053
-0.091,-0.448,1.049,-16.418,103.699,-48.889
0.12,-0.356,0.938,-30.212,82.52,-35.828
0.069,-0.018,1.119,-24.78,52.49,-12.329
0.038,0.126,1.141,-10.864,26.794,-0.916
0.041,-0.189,0.94,-0.427,10.01,-0.244
-0.177,-0.428,0.867,4.028,-4.578,-1.099
-0.382,-0.29,0.891,3.418,-13.062,-0.61
-0.438,-0.158,0.885,0.793,-14.709,-1.404
-0.412,-0.184,0.844,-0.61,-13.123,-2.258
-0.425,-0.219,0.824,-1.404,-11.353,-2.319
-0.496,-0.179,0.843,-3.113,-9.155,-2.197
-0.564,-0.116,0.884,-4.15,-5.798,-2.014
-0.567,-0.106,0.896,-3.357,-1.404,-1.282
-0.512,-0.151,0.889,-1.953,3.052,-0.122
-0.459,-0.216,0.879,-1.16,6.348,0.671
-0.374,-0.278,0.862,-2.869,8.301,0
-0.343,-0.302,0.858,-6.897,8.972,-2.014
-0.349,-0.27,0.867,-12.024,8.728,-4.395
-0.369,-0.189,0.896,-15.93,7.935,-6.653
-0.369,-0.096,0.916,-17.029,6.714,-7.568
-0.373,-0.055,0.927,-14.771,5.188,-6.714
-0.396,-0.059,0.934,-10.864,3.479,-4.883
-0.419,-0.065,0.935,-6.409,2.075,-2.93
-0.417,-0.071,0.929,-2.197,1.221,-1.282
-0.4,-0.086,0.911,1.404,0.916,0.549
-0.4,-0.088,0.906,4.028,0.427,1.892
-0.398,-0.066,0.902,6.653,0.183,3.357
-0.418,-0.051,0.912,10.376,0.122,5.493
-0.42,-0.087,0.913,13.916,0,7.568
-0.411,-0.142,0.905,16.235,0.122,8.667
-0.407,-0.17,0.901,17.029,0.183,9.155
-0.389,-0.163,0.885,16.785,0.305,8.972
-0.32,-0.143,0.873,17.517,-0.244,9.094
-0.307,-0.127,0.912,20.63,-2.625,10.864
-0.339,-0.149,0.938,23.804,-5.981,12.207
-0.372,-0.15,0.935,25.757,-8.728,12.512
-0.98,0.568,1.561,121.948,-75.195,115.173
-0.909,0.401,1.512,136.902,-71.533,127.625
-0.779,0.076,1.344,142.029,-70.801,132.202
-0.786,-0.066,1.326,121.826,-76.721,109.985
-1.556,0.361,1.765,51.819,-89.294,39.001
-1.714,1.381,2.106,-44.495,-81.604,-36.804
-1.738,2.078,2.264,-85.693,-58.289,-104.309
-1.555,1.472,2.11,-64.392,-33.142,-154.663
-1.299,0.47,1.889,-40.71,-13.245,-195.251
-1.063,-0.01,1.731,-57.983,-2.441,-228.882
-0.921,-0.065,1.649,-96.191,-0.916,-252.869
-0.864,-0.069,1.618,-126.404,-4.211,-264.099
-0.835,-0.195,1.579,-142.822,-8.179,-263.428
-0.778,-0.362,1.507,-152.893,-10.071,-254.883
-0.704,-0.467,1.424,-161.621,-10.803,-242.187
-0.648,-0.426,1.343,-168.335,-11.353,-226.44
