aX,aY,aZ,gX,gY,gZ
-0.383,-0.747,2.041,3.296,-287.72,-47.729
-0.657,-0.856,2.311,-7.996,-338.257,-68.237
-0.579,-1.327,2.627,-14.038,-372.62,-95.032
-0.248,-1.454,2.613,-33.264,-402.893,-122.192
-0.445,-1.02,2.37,-63.599,-443.787,-143.982
-0.709,-0.995,1.912,-82.153,-483.032,-159.241
-1.147,-0.775,2.085,-88.074,-493.774,-159.241
-4,-1.455,3.683,-48.279,-482.422,-86.304
-4,-3.882,4,15.015,-338.928,70.374
-3.409,-3.961,3.917,-54.321,-61.401,159.18
-0.553,-1.144,2.834,-209.961,143.677,146.851
0.719,1.306,2.27,-244.263,217.651,90.942
0.294,1.554,2.207,-122.07,217.468,38.696
-0.732,-0.179,2.162,44.8,218.018,7.69
-1.757,-1.63,2.129,125.732,251.709,-7.202
-2.236,-2.059,1.817,108.398,314.819,-4.639
-2.076,-1.569,1.309,49.377,379.456,14.648
-1.836,-0.703,0.866,8.423,416.199,43.091
-1.701,-0.148,0.549,8.911,419.739,79.163
-1.771,-0.011,0.404,34.18,401.489,117.615
-2.009,-0.046,0.368,57.678,376.709,153.259
-2.298,-0.049,0.366,66.345,357.544,183.167
-2.53,0.023,0.361,62.5,347.839,205.383
-2.678,0.105,0.304,55.176,343.994,219.604
-2.731,0.169,0.18,44.434,343.384,225.281
-2.741,0.204,0.016,32.715,343.506,223.389
-2.597,0.162,-0.166,19.958,341.187,216.98
-2.429,0.141,-0.304,2.136,332.52,205.322
-2.312,0.326,-0.364,-20.325,317.688,188.354
-2.248,0.542,-0.415,-36.621,298.584,171.814
-2.189,0.651,-0.49,-42.847,277.344,159.668
-2.19,0.66,-0.572,-43.64,256.104,149.78
-2.159,0.613,-0.646,-43.701,235.352,138.123
-2.143,0.549,-0.672,-44.067,214.6,123.535
-2.12,0.525,-0.681,-43.396,194.519,106.628
-1.964,0.495,-0.683,-41.382,176.697,88.867
-1.667,0.422,-0.669,-38.391,159.851,70.984
-1.33,0.4,-0.633,-35.095,140.625,51.27
-1.061,0.39,-0.564,-28.931,118.469,30.762
