aX,aY,aZ,gX,gY,gZ
-0.328,0.063,1.034,-5.493,77.026,8.667
-0.233,0.071,1.064,2.93,67.261,13.245
-0.15,-0.08,1.043,11.902,53.711,17.517
-0.142,-0.092,1.031,17.761,39.49,18.433
-0.234,-0.068,1.005,21.973,26.794,17.578
-0.319,-0.106,0.964,26.611,17.578,17.578
-0.3,-0.207,0.914,30.579,11.658,18.677
-0.28,-0.328,0.871,30.884,7.507,18.066
-0.306,-0.36,0.864,26.428,4.517,15.198
-0.35,-0.325,0.865,20.325,2.747,11.78
-0.36,-0.297,0.88,14.893,2.136,8.85
-0.337,-0.288,0.889,10.559,1.404,6.348
-0.331,-0.273,0.897,7.202,0.366,4.456
-0.368,-0.214,0.914,5.066,-1.282,2.686
0.189,-0.432,2.096,6.592,-267.273,-45.532
-0.039,-0.276,2.05,10.01,-326.538,-52.368
-0.032,-0.37,2.16,21.912,-386.108,-60.669
-0.569,-0.589,2.597,37.354,-429.749,-77.332
-0.654,-1.495,2.646,44.006,-446.716,-97.29
-0.43,-1.472,2.438,7.507,-450.317,-115.845
0.241,-1.097,1.97,-34.973,-450.195,-134.033
0.684,-0.833,1.595,-55.908,-464.966,-145.386
0.357,-0.651,1.743,-51.758,-485.168,-152.344
-1.933,-0.413,2.669,-24.719,-496.704,-126.099
-2.885,-1.758,3.798,31.25,-470.642,-61.829
-2.474,-2.639,3.912,73.975,-363.586,-5.432
-2.313,-2.918,3.987,60.73,-245.3,46.631
-2.296,-2.714,4,12.634,-115.662,94.482
-2.149,-2.132,3.886,-38.818,21.484,134.399
-1.878,-1.491,3.553,-73.425,151.611,160.095
-1.643,-1.077,3.117,-80.139,258.606,167.908
-1.585,-0.893,2.72,-70.801,337.524,160.034
-1.781,-0.803,2.412,-55.603,393.982,144.409
-2.154,-0.798,2.168,-36.438,437.561,129.944
-2.617,-0.819,1.992,-16.479,475.586,123.047
-3.275,-0.896,1.766,1.587,511.047,124.817
-4,-1.01,1.544,13.794,545.105,135.62
-4,-1.07,1.291,13.611,577.454,154.236
-4,-0.816,0.998,2.502,602.783,174.133
-4,-0.513,0.739,-7.69,616.15,191.956
-4,-0.22,0.55,-4.456,617.859,202.332
-4,-0.047,0.351,13.245,607.605,209.106
-3.92,-0.071,0.209,36.072,583.557,217.224
-3.529,-0.081,0.128,49.438,547.424,221.191
-3.226,-0.101,0.018,44.495,504.395,220.947
-3.118,-0.1,-0.04,25.085,458.923,218.872
-3.259,-0.026,-0.08,-2.014,412.903,214.294
-3.509,0.093,-0.114,-30.212,373.901,206.848
